_id,Location_Code,ward,Status,location,geometry
10501,A201,1 - Etobicoke North,Active,Martin Grove Rd. North of Rampart Rd,"{'type': 'Point', 'coordinates': (-79.59055, 43.734476)}"
10502,A202,1 - Etobicoke North,Active,Redgrave Dr. West of Martin Grove Rd.,"{'type': 'Point', 'coordinates': (-79.568876, 43.682991)}"
10503,A203,2 - Etobicoke Centre,Active,Royal York Rd. North of La Rose Ave.,"{'type': 'Point', 'coordinates': (-79.527765, 43.684999000000005)}"
10504,A204,2 - Etobicoke Centre,Active,Mill Rd. North of Burnhamthorpe Rd.,"{'type': 'Point', 'coordinates': (-79.58549, 43.640695)}"
10505,A205,3 - Etobicoke-Lakeshore,Active,The East Mall South of Faludon Court,"{'type': 'Point', 'coordinates': (-79.555593, 43.633225)}"
10506,A206,3 - Etobicoke-Lakeshore,Active,Ourland Ave. Near Merriday St,"{'type': 'Point', 'coordinates': (-79.507852, 43.615495)}"
10507,A207,4 -  Parkdale-High Park,Active,Parkside Dr. South of Algonquin Ave,"{'type': 'Point', 'coordinates': (-79.45528, 43.64253)}"
10508,A208,4 -  Parkdale-High Park,Active,Runnymede Rd. North of Colbeck St.,"{'type': 'Point', 'coordinates': (-79.477902, 43.655081)}"
10509,A209,5 - York South-Weston,Active,Scarlett Rd. South of Ellins Ave.,"{'type': 'Point', 'coordinates': (-79.502786, 43.670715)}"
10510,A210,5 - York South-Weston,Active,Gary Dr. Near Deerhurst Ave.,"{'type': 'Point', 'coordinates': (-79.51697, 43.711518)}"
10511,A211,6 - York Centre,Active,Dufferin St. North of Stanstead Dr.,"{'type': 'Point', 'coordinates': (-79.465845, 43.76401700000001)}"
10512,A212,6 - York Centre,Active,Stilecroft Dr. West of Sharpecroft Blvd.,"{'type': 'Point', 'coordinates': (-79.491983, 43.75096)}"
10513,A213,7 - Humber River-Black Creek,Active,Weston Rd. Near Coronado Court,"{'type': 'Point', 'coordinates': (-79.539617, 43.739993)}"
