"","School","LSAT","GPA"
"1",1,622,3.23
"2",2,542,2.83
"3",3,579,3.24
"4",4,653,3.12
"5",5,606,3.09
"6",6,576,3.39
"7",7,620,3.1
"8",8,615,3.4
"9",9,553,2.97
"10",10,607,2.91
"11",11,558,3.11
"12",12,596,3.24
"13",13,635,3.3
"14",14,581,3.22
"15",15,661,3.43
"16",16,547,2.91
"17",17,599,3.23
"18",18,646,3.47
"19",19,622,3.15
"20",20,611,3.33
"21",21,546,2.99
"22",22,614,3.19
"23",23,628,3.03
"24",24,575,3.01
"25",25,662,3.39
"26",26,627,3.41
"27",27,608,3.04
"28",28,632,3.29
"29",29,587,3.16
"30",30,581,3.17
"31",31,605,3.13
"32",32,704,3.36
"33",33,477,2.57
"34",34,591,3.02
"35",35,578,3.03
"36",36,572,2.88
"37",37,615,3.37
"38",38,606,3.2
"39",39,603,3.23
"40",40,535,2.98
"41",41,595,3.11
"42",42,575,2.92
"43",43,573,2.85
"44",44,644,3.38
"45",45,545,2.76
"46",46,645,3.27
"47",47,651,3.36
"48",48,562,3.19
"49",49,609,3.17
"50",50,555,3
"51",51,586,3.11
"52",52,580,3.07
"53",53,594,2.96
"54",54,594,3.05
"55",55,560,2.93
"56",56,641,3.28
"57",57,512,3.01
"58",58,631,3.21
"59",59,597,3.32
"60",60,621,3.24
"61",61,617,3.03
"62",62,637,3.33
"63",62,572,3.08
"64",64,610,3.13
"65",65,562,3.01
"66",66,635,3.3
"67",67,614,3.15
"68",68,546,2.82
"69",69,598,3.2
"70",70,666,3.44
"71",71,570,3.01
"72",72,570,2.92
"73",73,605,3.45
"74",74,565,3.15
"75",75,686,3.5
"76",76,608,3.16
"77",77,595,3.19
"78",78,590,3.15
"79",79,558,2.81
"80",80,611,3.16
"81",81,564,3.02
"82",82,575,2.74
